q_vector,Intensity
0.3125,123.53362655074281
0.9375,0.05823317349148393
1.5625,0.05421765823668656
2.1875,0.059159294664323736
2.8125,0.07013820399521596
3.4375,0.09396134159972869
4.0625,0.1359035305205104
4.6875,0.22881532659233575
5.3125,0.4478931859589168
5.9375,1.066423198501178
6.5625,1.9465452235690675
7.1875,1.9070294093879778
7.8125,1.246981142441045
8.4375,0.8769028962391133
9.0625,0.728467985885374
9.6875,0.6994368287875966
10.3125,0.7464428046543576
10.9375,0.8526890404359683
11.5625,1.003899432818994
12.1875,1.1347071147729988
12.8125,1.2106273741257294
13.4375,1.177647087064957
14.0625,1.0784304436695238
14.6875,0.9718882506348664
